Date,Open,High,Low,Close,Volume
1/2/1992 0:00:00,1557,1782,1528,1782,30-33
1/3/1992 0:00:00,1766,1766,1766,1766,
1/6/1992 0:00:00,1766,2000,1750,2000,
1/7/1992 0:00:00,1982,1982,1982,1982,
1/8/1992 0:00:00,1964,1964,1719,1719,
1/9/1992 0:00:00,1704,1704,1704,1704,
1/10/1992 0:00:00,1704,1930,1689,1930,
1/13/1992 0:00:00,1930,2134,1897,1897,
1/14/1992 0:00:00,1880,1880,1880,1880,
1/15/1992 0:00:00,1865,1865,1865,1865,
1/16/1992 0:00:00,1833,1833,1833,1833,
1/17/1992 0:00:00,1833,2063,1833,1833,
1/20/1992 0:00:00,1833,2045,1818,2045,
1/21/1992 0:00:00,2029,2029,2029,2029,
1/22/1992 0:00:00,1996,1996,1996,1996,
1/23/1992 0:00:00,1996,2200,1980,2200,
1/24/1992 0:00:00,2200,2401,2183,2401,
1/27/1992 0:00:00,2401,2599,2382,2382,
1/28/1992 0:00:00,2382,2578,2363,2578,
1/29/1992 0:00:00,2578,2750,2327,2539,55
1/30/1992 0:00:00,2519,2519,2309,2309,
1/31/1992 0:00:00,2309,2500,2292,2292,
2/3/1992 0:00:00,2292,2481,2068,2275,
2/4/1992 0:00:00,2241,2241,2037,2241,
2/5/1992 0:00:00,2224,2224,2022,2022,
2/6/1992 0:00:00,1993,1993,1993,1993,
2/7/1992 0:00:00,1993,2176,1978,2176,
2/10/1992 0:00:00,2145,2145,2145,2145,
2/11/1992 0:00:00,2130,2130,1937,2130,
2/12/1992 0:00:00,2130,2292,2101,2101,
2/13/1992 0:00:00,2101,2245,1871,1871,40
2/14/1992 0:00:00,2058,2058,2058,2058,
2/17/1992 0:00:00,2044,2044,2044,2044,
2/18/1992 0:00:00,2044,2200,2017,2200,
2/19/1992 0:00:00,2200,2352,2171,2352,
2/20/1992 0:00:00,2352,2516,2337,2337,
2/21/1992 0:00:00,2337,2484,2306,2484,
2/24/1992 0:00:00,2484,2644,2468,2468,
2/25/1992 0:00:00,2437,2437,2263,2437,
2/26/1992 0:00:00,2406,2406,2234,2406,
2/27/1992 0:00:00,2406,2562,2391,2391,
2/28/1992 0:00:00,2391,2531,2362,2531,
3/5/1992 0:00:00,2485,2485,2485,2485,
3/6/1992 0:00:00,2485,2619,2456,2456,
3/9/1992 0:00:00,2456,2588,2427,2427,
3/10/1992 0:00:00,2398,2398,2239,2398,
3/11/1992 0:00:00,2385,2385,2385,2385,
3/12/1992 0:00:00,2385,2514,2357,2357,
3/13/1992 0:00:00,2357,2486,2331,2486,
3/16/1992 0:00:00,2458,2458,2458,2458,
3/17/1992 0:00:00,2445,2445,2292,2292,
3/18/1992 0:00:00,2292,2418,2267,2418,
3/19/1992 0:00:00,2391,2391,2391,2391,
3/20/1992 0:00:00,2391,2514,2366,2514,
3/23/1992 0:00:00,2487,2487,2341,2341,
3/24/1992 0:00:00,2341,2474,2328,2328,
3/25/1992 0:00:00,2304,2304,2160,2160,
3/26/1992 0:00:00,2160,2280,2137,2137,
3/27/1992 0:00:00,2256,2256,2256,2256,
3/30/1992 0:00:00,2234,2234,2234,2234,
3/31/1992 0:00:00,2234,2487,2211,2487,
4/1/1992 0:00:00,2463,2463,2463,2463,
4/2/1992 0:00:00,2438,2438,2438,2438,
4/3/1992 0:00:00,2438,2549,2415,2549,
4/6/1992 0:00:00,2549,2657,2524,2657,
4/7/1992 0:00:00,2657,2763,2632,2763,
4/8/1992 0:00:00,2737,2737,2607,2607,
4/9/1992 0:00:00,2582,2582,2453,2582,
4/10/1992 0:00:00,2582,2686,2558,2686,
4/13/1992 0:00:00,2686,2788,2661,2788,
4/14/1992 0:00:00,2788,2875,2750,2750,
4/15/1992 0:00:00,2750,2973,2725,2973,
4/20/1992 0:00:00,2946,2946,2946,2946,
4/22/1992 0:00:00,2946,3042,2920,3042,55
